Ações por Índice
Dados de 1 a 4 de 2024
Empresa;Código;Índices dos quais participa
BRADESCO;ON   N1;BBDC3;IBOV,IBRA,IBXX,ICO2,IDVR,IFNC,IGCT,IGCX,ITAG,MLCX;
BRADESCO;PN   N1;BBDC4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX;
BRADESPAR;ON   N1;BRAP3;IGCX,ITAG;
BRADESPAR;PN   N1;BRAP4;IBOV,IBRA,IBSD,IBXX,IDIV,IGCT,IGCX,IMAT,ITAG,SMLL;
BRASIL;ON   NM;BBAS3;IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IDVR,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX;
BRASILAGRO;ON   NM;AGRO3;AGFS,IBRA,ICON,IDIV,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL;
BRASKEM;ON   N1;BRKM3;IGCX,ITAG;
BRASKEM;PNA  N1;BRKM5;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,MLCX;
BREAD FINAN;DRN;A1LL34;BDRX;
BRF SA;ON   NM;BRFS3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX;
BRISANET;ON   NM;BRIT3;IGCX,IGNM,ITAG;
BRITISH AMER;DRN;B1TI34;BDRX;
BROADCOM INC;DRN;AVGO34;BDRX;
BTGP BANCO;UNT  N2;BPAC11;IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX;
CAIXA SEGURI;ON   NM;CXSE3;GPTW,IBRA,IDIV,IDVR,IFNC,IGCT,IGCX,IGNM,ITAG,MLCX;
CAMIL;ON   NM;CAML3;AGFS,IBRA,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL;
CARNIVAL COR;DRN;C1CL34;BDRX;
CARREFOUR BR;ON   NM;CRFB3;AGFS,IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX;
CARTESIA FII;CI;CACR11;IFIX;
CASAS BAHIA;ON   NM;BHIA3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL;
CATERPILLAR;DRN;CATP34;BDRX;
CBA;ON   NM;CBAV3;IBRA,IDVR,IGCT,IGCX,IGNM,IMAT,ISEE,ITAG,SMLL;
CCR SA;ON   NM;CCRO3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
CEA MODAS;ON   NM;CEAB3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
CEDRO;PN   N1;CEDO4;IGCX,ITAG;
CELESC;ON   N2;CLSC3;ITAG;
CELESC;PN   N2;CLSC4;IGCX,ITAG;
CEMIG;ON   N1;CMIG3;IBRA,IDIV,IGCT,IGCX,MLCX,UTIL;
CEMIG;PN   N1;CMIG4;IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL;
CHARTER COMM;DRN;CHCM34;BDRX;
CHEVRON;DRN;CHVX34;BDRX;
CIELO;ON   NM;CIEL3;GPTW,IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDVR,IFNC,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,SMLL;
CISCO;DRN;CSCO34;BDRX;
CITIGROUP;DRN;CTGP34;BDRX;
CLEARSALE;ON   NM;CLSA3;IGCX,IGNM,ITAG;
COCA COLA;DRN;COCA34;BDRX;
COELCE;PNA;COCE5;IEEX;
COGNA ON;ON   NM;COGN3;IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
COINBASEGLOB;DRN;C2OI34;BDRX;
COLGATE;DRN;COLG34;BDRX;
COMCAST;DRN;CMCS34;BDRX;
COPASA;ON   NM;CSMG3;IBRA,IBXX,IDIV,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL,UTIL;
COPEL;ON   N2;CPLE3;ITAG;
COPEL;PNA  N2;CPLE5;ITAG;
COPEL;PNB  N2;CPLE6;IBOV,IBRA,IBSD,IBXL,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,ISEE,ITAG,IVBX,MLCX,UTIL;
COPHILLIPS;DRN;COPH34;BDRX;
COSAN;ON   NM;CSAN3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
COSTCO;DRN;COWC34;BDRX;
COTEMINAS;PN;CTNM4;ITAG;
CPFL ENERGIA;ON   NM;CPFE3;IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL;
CRUZEIRO EDU;ON   NM;CSED3;IGCX,IGNM,ITAG;
CSNMINERACAO;ON   N2;CMIN3;IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IGCT,IGCX,IMAT,ITAG,MLCX;
CSU DIGITAL;ON   NM;CSUD3;IGCX,IGNM,ITAG;
CURY S/A;ON   NM;CURY3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
CVC BRASIL;ON   NM;CVCB3;IBOV,IBRA,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL;
CYRELA REALT;ON   NM;CYRE3;IBOV,IBRA,IBXL,IBXX,ICON,IDVR,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,IVBX,SMLL;
D1000VFARMA;ON   NM;DMVF3;IGCX,IGNM,ITAG;
DANAHER CORP;DRN;DHER34;BDRX;
DASA;ON   NM;DASA3;GPTW,IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL;
DEERE CO;DRN;DEEC34;BDRX;
DESKTOP;ON   NM;DESK3;IGCX,IGNM,ITAG;
DEXCO;ON   NM;DXCO3;AGFS,IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,IMAT,INDX,ISEE,ITAG,SMLL;
DEXXOS PAR;ON   N1;DEXP3;IGCX;
DEXXOS PAR;PN   N1;DEXP4;IGCX;
DIAGEO PL;DRN;DEOP34;BDRX;
DIMED;ON   NM;PNVL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
DIRECIONAL;ON   NM;DIRR3;IBRA,IBXX,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
DOTZ SA;ON   NM;DOTZ3;IGCX,IGNM,ITAG;
ECOPETROL SA;DRN;E1CO34;BDRX;
ECORODOVIAS;ON   NM;ECOR3;IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
ELETROBRAS;ON   N1;ELET3;IBOV,IBRA,IBXL,IBXX,ICO2,IDVR,IEEX,IGCT,IGCX,ISEE,IVBX,MLCX,UTIL;
ELETROBRAS;PNB  N1;ELET6;IBOV,IBRA,IBXX,ICO2,IDVR,IGCT,IGCX,MLCX,UTIL;
ELETROMIDIA;ON   NM;ELMD3;IGCX,IGNM,ITAG;
EMBRAER;ON   NM;EMBR3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,MLCX;
ENAUTA PART;ON   NM;ENAT3;IBRA,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
ENERGISA;UNT  N2;ENGI11;IBOV,IBRA,IBXX,ICO2,IDVR,IEEX,IGCT,IGCX,ITAG,IVBX,MLCX,UTIL;
ENEVA;ON   NM;ENEV3;IBOV,IBRA,IBXX,ICO2,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL;
ENGIE BRASIL;ON   NM;EGIE3;IBOV,IBRA,IBSD,IBXX,ICO2,IDIV,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX,UTIL;
ENJOEI;ON   NM;ENJU3;IGCX,IGNM,ITAG;
EQUATORIAL;ON   NM;EQTL3;GPTW,IBOV,IBRA,IBXL,IBXX,IDVR,IEEX,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX,UTIL;
EQUINIX INC;DRN;EQIX34;BDRX;
EQUINOR ASA;DRN;E1QN34;BDRX;
ESPACOLASER;ON   NM;ESPA3;IBRA,ICON,IDVR,IGCT,IGCX,IGNM,ITAG,SMLL;
ESTAPAR;ON   NM;ALPK3;IGCX,IGNM,ITAG;
EUCATEX;ON   N1;EUCA3;IGCX;
EUCATEX;PN   N1;EUCA4;IGCX;
